MEAT - FRESH & FROZEN,PRODUCE,0.752
MEAT - FRESH & FROZEN,GROCERY DRY GOODS,0.736
COMM BREAD,GROCERY DRY GOODS,0.729
COMM BREAD,DAIRY,0.619
FROZEN FOODS,DAIRY,0.611
FROZEN FOODS,GROCERY DRY GOODS,0.626
COMM BREAD,PRODUCE,0.548
HOUSEHOLD PAPER GOODS,GROCERY DRY GOODS,0.614
DAIRY,GROCERY DRY GOODS,0.609
GROCERY DRY GOODS,DAIRY,0.54
FROZEN FOODS,PRODUCE,0.517
PRODUCE,DAIRY,0.508
DAIRY,PRODUCE,0.51
PRODUCE,GROCERY DRY GOODS,0.536
FROZEN FOODS,DSD GROCERY,0.714
COMM BREAD,DSD GROCERY,0.7
HOUSEHOLD PAPER GOODS,DSD GROCERY,0.674
DAIRY,DSD GROCERY,0.638
GROCERY DRY GOODS,DSD GROCERY,0.603
PRODUCE,DSD GROCERY,0.554
