MEAT - FRESH & FROZEN,PRODUCE,0.047
MEAT - FRESH & FROZEN,GROCERY DRY GOODS,0.046
COMM BREAD,GROCERY DRY GOODS,0.0765
COMM BREAD,DAIRY,0.065
FROZEN FOODS,DAIRY,0.062
FROZEN FOODS,GROCERY DRY GOODS,0.0635
COMM BREAD,PRODUCE,0.0575
HOUSEHOLD PAPER GOODS,GROCERY DRY GOODS,0.0565
DAIRY,GROCERY DRY GOODS,0.117
GROCERY DRY GOODS,DAIRY,0.117
FROZEN FOODS,PRODUCE,0.0525
PRODUCE,DAIRY,0.098
DAIRY,PRODUCE,0.098
PRODUCE,GROCERY DRY GOODS,0.1035
FROZEN FOODS,DSD GROCERY,0.0725
COMM BREAD,DSD GROCERY,0.0735
HOUSEHOLD PAPER GOODS,DSD GROCERY,0.062
DAIRY,DSD GROCERY,0.1225
GROCERY DRY GOODS,DSD GROCERY,0.1305
PRODUCE,DSD GROCERY,0.107
